date	year	month	day	sample_depth	gene	domain_name	division_name	class_name	lowest_classification_name	placement_type	RR_count
15_6_24	15	6	24	DP	18s	Eukaryota	Alveolata	Dinophyceae	Gymnodiniales	fuzzy	79
15_6_24	15	6	24	DP	18s	Eukaryota	Alveolata	Dinophyceae	Peridiniales	fuzzy	69
15_6_24	15	6	24	DP	18s	Eukaryota	Alveolata	Dinophyceae	Polykrikaceae	fuzzy	148
15_6_24	15	6	24	DP	18s	Eukaryota	Alveolata	Dinophyceae	Syndiniales	fuzzy	17
15_6_24	15	6	24	DP	18s	Eukaryota	Alveolata	Dinophyceae	environmental samples	fuzzy	22
15_6_24	15	6	24	DP	18s	Eukaryota	Cryptophyta	Cryptomonadales	Cryptomonadaceae	fuzzy	135
15_6_24	15	6	24	DP	18s	Eukaryota	Cryptophyta	unclassified Cryptophyta	unclassified Cryptophyta	fuzzy	52
15_6_24	15	6	24	DP	18s	Eukaryota	Opisthokonta	Fungi	Sordariomycetidae	fuzzy	3
15_6_24	15	6	24	DP	18s	Eukaryota	Opisthokonta	Metazoa	Calanoida	fuzzy	88
15_6_24	15	6	24	DP	18s	Eukaryota	Opisthokonta	Metazoa	Calcarea	fuzzy	3
15_6_24	15	6	24	DP	18s	Eukaryota	Opisthokonta	Metazoa	Calcaxonia	fuzzy	1314
15_6_24	15	6	24	DP	18s	Eukaryota	Opisthokonta	Metazoa	Campanulariidae	fuzzy	10
15_6_24	15	6	24	DP	18s	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	fuzzy	11
15_6_24	15	6	24	DP	18s	Eukaryota	Opisthokonta	Metazoa	Leptothecata	fuzzy	2
15_6_24	15	6	24	DP	18s	Eukaryota	Opisthokonta	Metazoa	Macoma	fuzzy	2
15_6_24	15	6	24	DP	18s	Eukaryota	Opisthokonta	Metazoa	Peloderinae	fuzzy	2
15_6_24	15	6	24	DP	18s	Eukaryota	Opisthokonta	Metazoa	Pteronyssidae	fuzzy	5
15_6_24	15	6	24	DP	18s	Eukaryota	Opisthokonta	Metazoa	Spionida	fuzzy	2
15_6_24	15	6	24	DP	18s	Eukaryota	Opisthokonta	Metazoa	Typhlocoela	fuzzy	404
15_6_24	15	6	24	DP	18s	Eukaryota	Rhizaria	Cercozoa	Cercomonadida	fuzzy	13
15_6_24	15	6	24	DP	18s	Eukaryota	Rhizaria	Cercozoa	Cercomonadidae	fuzzy	10
15_6_24	15	6	24	DP	18s	Eukaryota	Rhizaria	Cercozoa	Protaspis	fuzzy	8
15_6_24	15	6	24	DP	18s	Eukaryota	Rhizaria	Cercozoa	Silicofilosea	fuzzy	39
15_6_24	15	6	24	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Bacillariophyta	fuzzy	16
15_6_24	15	6	24	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphia	fuzzy	4
15_6_24	15	6	24	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiaceae	fuzzy	37
15_6_24	15	6	24	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiophycidae	fuzzy	175
15_6_24	15	6	24	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	fuzzy	14
15_6_24	15	6	24	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Ditylum	fuzzy	11
15_6_24	15	6	24	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Thalassiosiraceae	fuzzy	7
15_6_24	15	6	24	DP	18s	Eukaryota	Stramenopiles	Chrysophyceae	unclassified Chrysophyceae	fuzzy	2
15_6_24	15	6	24	DP	18s	Eukaryota	Stramenopiles	Labyrinthulomycetes	Labyrinthulomycetes	fuzzy	2
15_6_24	15	6	24	DP	18s	Eukaryota	Stramenopiles	NO MATCH	Stramenopiles	fuzzy	9
15_6_24	15	6	24	DP	18s	Eukaryota	Stramenopiles	Synurophyceae	Synurophyceae	fuzzy	4
15_6_24	15	6	24	DP	18s	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	fuzzy	20
15_6_24	15	6	24	DP	18s	Eukaryota	Viridiplantae	Streptophyta	Dalbergieae	fuzzy	2
15_6_24	15	6	24	DP	18s	Eukaryota	environmental samples	named eukaryotic clones	named eukaryotic clones	fuzzy	13
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	Ciliophora	Armophorida	fuzzy	3
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	Ciliophora	Choreotrichia	fuzzy	2
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	Ciliophora	Prorodontida	fuzzy	6
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	Ciliophora	Spirotrichea	fuzzy	5
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	Ciliophora	Strombidiidae	fuzzy	32
