gene	sample	domain_name	division_name	class_name	lowest_classification_name	placement_type	RR_count
BB062415BCM18S	BB062415BCM18S	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	fuzzy	5
BB062415BCM18S	BB062415BCM18S	Eukaryota	Viridiplantae	Chlorophyta	Microthamniales	fuzzy	9
BB062415BCM18S	BB062415BCM18S	Eukaryota	Viridiplantae	Chlorophyta	Ulvella	fuzzy	4
BB062415BCM18S	BB062415BCM18S	Eukaryota	Viridiplantae	Streptophyta	Arachis	fuzzy	2
BB062415BCM18S	BB062415BCM18S	Eukaryota	Viridiplantae	Streptophyta	Klebsormidiales	fuzzy	9
BB062415BCM18S	BB062415BCM18S	Eukaryota	Viridiplantae	Streptophyta	environmental samples	fuzzy	3
BB062415BCM18S	BB062415BCM18S	Eukaryota	environmental samples	named eukaryotic clones	named eukaryotic clones	fuzzy	2
BB062415BDp18S	BB062415BDp18S	Eukaryota	Alveolata	Apicomplexa	Piroplasmida	fuzzy	15
BB062415BDp18S	BB062415BDp18S	Eukaryota	Alveolata	Ciliophora	Choreotrichia	fuzzy	14
BB062415BDp18S	BB062415BDp18S	Eukaryota	Alveolata	Ciliophora	Spirotrichea	fuzzy	10
BB062415BDp18S	BB062415BDp18S	Eukaryota	Alveolata	Ciliophora	Strombidinopsis	fuzzy	6
BB062415BDp18S	BB062415BDp18S	Eukaryota	Alveolata	Dinophyceae	Amoebophrya	fuzzy	7
BB062415BDp18S	BB062415BDp18S	Eukaryota	Alveolata	Dinophyceae	Dinophyceae	fuzzy	2
BB062415BDp18S	BB062415BDp18S	Eukaryota	Alveolata	Dinophyceae	Gymnodiniales	fuzzy	79
BB062415BDp18S	BB062415BDp18S	Eukaryota	Alveolata	Dinophyceae	Peridiniales	fuzzy	69
BB062415BDp18S	BB062415BDp18S	Eukaryota	Alveolata	Dinophyceae	Polykrikaceae	fuzzy	148
BB062415BDp18S	BB062415BDp18S	Eukaryota	Alveolata	Dinophyceae	Syndiniales	fuzzy	17
BB062415BDp18S	BB062415BDp18S	Eukaryota	Alveolata	Dinophyceae	environmental samples	fuzzy	22
BB062415BDp18S	BB062415BDp18S	Eukaryota	Cryptophyta	Cryptomonadales	Cryptomonadaceae	fuzzy	135
BB062415BDp18S	BB062415BDp18S	Eukaryota	Cryptophyta	unclassified Cryptophyta	unclassified Cryptophyta	fuzzy	52
BB062415BDp18S	BB062415BDp18S	Eukaryota	Opisthokonta	Fungi	Sordariomycetidae	fuzzy	3
BB062415BDp18S	BB062415BDp18S	Eukaryota	Opisthokonta	Metazoa	Calanoida	fuzzy	88
BB062415BDp18S	BB062415BDp18S	Eukaryota	Opisthokonta	Metazoa	Calcarea	fuzzy	3
BB062415BDp18S	BB062415BDp18S	Eukaryota	Opisthokonta	Metazoa	Calcaxonia	fuzzy	1314
